Sygnatura czasowa,Czy uważasz się za osobę świadomą ekologicznie? ,"Proszę zaznaczyć działania, które praktykujesz na co dzień podczas dokonywania decyzji zakupowych","Czy uważasz, że społeczeństwo wykazuje się coraz większą odpowiedzialnością i świadomością ekologiczną? ","Czy uważasz, że wykazujesz się wyższą świadomością ekologiczną niż 2-3 lata temu? ",W jakim stopniu Twoim zdaniem produkcja i spożywanie produktów odzwierzęcych mogą wpływać negatywnie na środowisko? ,"Czy słyszał_ś  o pojęciu „fleksitarianizmu”, czyli diety tradycyjnej z nastawieniem na ograniczenie ilości mięsa w diecie? ",Jak często spożywasz produkty odzwierzęce? [Mięso],Jak często spożywasz produkty odzwierzęce? [Wędliny],Jak często spożywasz produkty odzwierzęce? [Nabiał],Jak często spożywasz produkty odzwierzęce? [Jajka],"Jakie są powody, dla których spożywasz mięso i nabiał?  (nie odpowiadać, w przypadku, gdy na pytanie 7 we wszystkich kategoriach zaznaczono odpowiedz „nigdy)",Czy starasz się ograniczać mięso i nabiał swojej diecie lub całkowicie je wykluczasz?,Czy planujesz wykluczyć częściowo lub całkowicie mięso i nabiał oraz inne produkty odzwierzęce ze swojej diety? ,Jeśli w poprzednich dwóch pytaniach zaznaczono odpowiedz „Tak…”: proszę o podanie motywów jakimi się kierował_ś podejmując taką decyzję:,O jakich produktach roślinnych  słyszał_ś lub jakich używasz?,Jak często sięgasz po wszelkiego rodzaju produkty roślinne? ,"Jakie cechy powinny posiadać roślinne produkty będące odpowiednikami mięsa, wędlin lub nabiału, żebyś chciał_  ich spróbować lub wprowadzić na stałe do swojej diety?","Czy uważasz, że obecnie dużo łatwiej jest dostać w sklepach produkty wegańskie i roślinne zamienniki mięsa lub nabiału niż jeszcze parę lat temu? ",Czy na przyszłość oczekiwał_byś zwiększenia ilości dostępnych produktów roślinnych i nowoczesnych roślinnych alternatyw mięsa lub nabiału?,"Czy szerzej dostępne roślinne alternatywy nabiału albo mięsa na półkach sklepowych, w których zazwyczaj robisz zakupy zachęcałyby Cię do częstszego kupowania takich produktów? ",Czy szerzej dostępne posiłki roślinne w restauracjach i kawiarniach zachęcałyby Cię do częstszego próbowania i spożywania takich posiłków? ,Jaki jest Twój dotychczasowy stosunek do posiłków roślinnych i zamienników mięsa? ,Płeć,Wiek,Wykształcenie,Sytuacja zawodowa,Miejsce zamieszkania,Rodzaj stosowanej diety
2022-04-05 16:38:06,Tak,"Kupuję produkty przyjazne środowisku, nawet jeśli mają wyższą cenę, ponieważ uważam, że są bezpieczniejsze i zdrowsze niż produkty konwencjonalne, Zwracam uwagę, czy opakowanie produktu, który kupuje nadaje się do recyklingu",4,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",4,Nie,Raz na 2 tygodnie,Raz na miesiąc,Kilka razy w tygodniu,Raz w tygodniu,"Lubię ich smak i konsystencję, Są łatwo dostępne, Są pożywne",Nie,"Tak, chciał_bym w przyszłości spożywać wyłącznie posiłki roślinne","Ze względów zdrowotnych, aby zadbać o siebie (chęć ograniczenie tłuszczy zwierzęcych w diecie, ograniczenie kalorii, chęć wprowadzenia większej ilości produktów roślinnych do diety), Ze względu na środowisko (chęć wpływu na zmniejszenie degradacji środowiska)","Roślinne burgery lub roślinne mięso mielone, Klopsy warzywne/roślinne, Masło roślinne",Sporadycznie,"Korzyści zdrowotne płynące ze spożywania takich produktów, Ogólna pozytywna opinia na temat tego produktu wśród znajomych","Tak, dużo łatwiej",Nie mam zdania,Trudno powiedzieć,Raczej tak,"To trend, który zostanie na dłużej, Nie jest to dieta dla mężczyzn ani sportowców, Są zdrowe i odżywcze",Mężczyzna,18-25,Średnie,studiuję i pracuję,miasto do 50 tys. mieszkańców,Tradycyjna
2022-04-05 16:39:13,Tak,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Staram się kupować produkty od firm, które uważam za społecznie odpowiedzialne lub zrównoważone, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",5,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",5,Nie,Codziennie,Kilka razy w tygodniu,Codziennie,Kilka razy w tygodniu,"Lubię ich smak i konsystencję, Są tanie, Są łatwo dostępne, Są pożywne, Są zdrowe, mają dużo witamin, Ze względu na dietę innych członków rodziny (wspólne posiłki)",Nie,"Nie, nie planuje zmieniać swoich nawyków żywieniowych i ograniczać produktów odzwierzęcych",,"Tofu, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Roślinne burgery lub roślinne mięso mielone, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Masło roślinne, Sery wegańskie, Wegański majonez, Roślinne zamienniki jajek, Syrop klonowy/Syrop z agawy jako zamiennik miodu, Wegańskie białko w proszku (suplement)",Sporadycznie,"Przystępna cena, Smak podobny do tradycyjnego mięsa i nabiału, Korzyści zdrowotne płynące ze spożywania takich produktów, Wartość odżywcza, Powszechna dostępność, Wysoka zawartość wapnia i innych witamin oraz minerałów, Łatwość przygotowania, Ogólna pozytywna opinia na temat tego produktu wśród znajomych, Posiadanie certyfikatu potwierdzającego w pełni roślinny skład produktu, Sposób produkcji, który nie przyczynia się do cierpienia zwierząt, Dostępność informacji odnośnie wykorzystania takich produktów w przepisach kulinarnych, Atrakcyjny wygląd opakowania, Ciekawa nazwa produktu","Tak, dużo łatwiej",Nie mam zdania,Raczej nie,Raczej tak,"Są niesmaczne, posiłki wegańskie są bez smaku, To chwilowa moda, Jest to dieta trudna w utrzymaniu i przygotowaniu, Dania roślinne są sycące i odżywcze, Są za drogie",Kobieta,18-25,Średnie,studiuję i pracuję,miasto powyżej 100 tys. mieszkańców,Tradycyjna
2022-04-05 16:45:02,Tak,"Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Zwracam uwagę, czy opakowanie produktu, który kupuje nadaje się do recyklingu, Staram się kupować produkty od firm, które uważam za społecznie odpowiedzialne lub zrównoważone, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",4,"Nie, nie zauważył_m u siebie zmiany",3,Tak,Codziennie,Raz w tygodniu,Kilka razy w tygodniu,Raz w tygodniu,"Lubię ich smak i konsystencję, Są ważnym elementem naszej kuchni regionalnej, Są pożywne, Są zdrowe, mają dużo witamin, Ze względu na dietę innych członków rodziny (wspólne posiłki), Z przyzwyczajenia, bo nie znam innych przepisów",Nie,"Nie, nie planuje zmieniać swoich nawyków żywieniowych i ograniczać produktów odzwierzęcych",,"Tofu, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Roślinne burgery lub roślinne mięso mielone, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Sery wegańskie, Pasty warzywne kanapkowe (np. wegański smalec), Syrop klonowy/Syrop z agawy jako zamiennik miodu",Kilka razy w tygodniu,"Przystępna cena, Smak podobny do tradycyjnego mięsa i nabiału, Korzyści zdrowotne płynące ze spożywania takich produktów, Powszechna dostępność, Łatwość przygotowania, Ogólna pozytywna opinia na temat tego produktu wśród znajomych, Sposób produkcji, który nie przyczynia się do cierpienia zwierząt, Atrakcyjny wygląd opakowania","Tak, dużo łatwiej",Nie mam zdania,Raczej tak,Zdecydowanie tak,"Są smaczne, pełne różnych smaków i przypraw, Jest to dieta trudna w utrzymaniu i przygotowaniu, Są za drogie",Kobieta,18-25,Średnie,uczę się/studiuję,wieś,Tradycyjna
2022-04-05 16:50:32,Tak,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",4,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",4,Nie,Kilka razy w tygodniu,Kilka razy w tygodniu,Kilka razy w tygodniu,Kilka razy w tygodniu,"Lubię ich smak i konsystencję, Są łatwo dostępne, Są ważnym elementem naszej kuchni regionalnej, Są pożywne, Ze względu na dietę innych członków rodziny (wspólne posiłki), Z przyzwyczajenia, bo nie znam innych przepisów",Nie,"Nie, nie planuje zmieniać swoich nawyków żywieniowych i ograniczać produktów odzwierzęcych",,"Tofu, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Mleko roślinne (np. sojowe, owsiane), Masło roślinne, Śmietanka roślinna, Sery wegańskie, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec)",Sporadycznie,"Przystępna cena, Smak podobny do tradycyjnego mięsa i nabiału, Powszechna dostępność, Łatwość przygotowania, Ogólna pozytywna opinia na temat tego produktu wśród znajomych, Atrakcyjny wygląd opakowania","Tak, dużo łatwiej",Tak,Raczej nie,Raczej tak,"To trend, który zostanie na dłużej, Jest to dieta trudna w utrzymaniu i przygotowaniu, Są za drogie",Mężczyzna,18-25,Wyższe,studiuję i pracuję,miasto do 100 tys. mieszkańców,Tradycyjna
2022-04-05 16:56:23,Tak,"Kupuję produkty przyjazne środowisku, nawet jeśli mają wyższą cenę, ponieważ uważam, że są bezpieczniejsze i zdrowsze niż produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Zwracam uwagę, czy kupowane przeze mnie towary posiadają oznaczenia ekologiczne lub certyfikaty zrównoważonego handlu (np. GOTS, Ecocert, Fair Trade, Not Tested on Animals itp…), Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",4,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",5,Tak,Nigdy,Nigdy,"Sporadycznie, gdy nie mam dostępu do produktów roslinnych","Sporadycznie, gdy nie mam dostępu do produktów roslinnych","Są łatwo dostępne, Ze względu na dietę innych członków rodziny (wspólne posiłki)",Tak,"Tak, chciał_bym w przyszłości spożywać wyłącznie posiłki roślinne","Ze względu na poglądy etyczne (sprzeciwianie się spożywania zwierząt i tego co do nich należy), Ze względu na środowisko (chęć wpływu na zmniejszenie degradacji środowiska), Chęć wypróbowania nowych przepisów","Tofu, Tempeh, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Roślinne kawałki kurczaka/nuggetsy, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Śmietanka roślinna, Sery wegańskie, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec), Roślinne zamienniki jajek, Syrop klonowy/Syrop z agawy jako zamiennik miodu, Wegańskie białko w proszku (suplement)",Codziennie,"Przystępna cena, Smak podobny do tradycyjnego mięsa i nabiału, Wartość odżywcza, Wysoka zawartość wapnia i innych witamin oraz minerałów, Sposób produkcji, który nie przyczynia się do cierpienia zwierząt","Tak, dużo łatwiej",Tak,Zdecydowanie tak,Zdecydowanie tak,"Są smaczne, pełne różnych smaków i przypraw, To trend, który zostanie na dłużej, Dania roślinne są sycące i odżywcze, Są w akceptowalnej cenie, Są zdrowe i odżywcze",Kobieta,18-25,Średnie,studiuję i pracuję,miasto powyżej 100 tys. mieszkańców,Wegetariańska
2022-04-05 17:13:58,NIe wiem,"Kupuję produkty przyjazne środowisku, nawet jeśli mają wyższą cenę, ponieważ uważam, że są bezpieczniejsze i zdrowsze niż produkty konwencjonalne, Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Zwracam uwagę, czy opakowanie produktu, który kupuje nadaje się do recyklingu, Staram się kupować produkty od firm, które uważam za społecznie odpowiedzialne lub zrównoważone, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",5,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",5,Tak,"Sporadycznie, gdy nie mam dostępu do produktów roslinnych","Sporadycznie, gdy nie mam dostępu do produktów roslinnych",Kilka razy w tygodniu,Codziennie,"Lubię ich smak i konsystencję, Są tanie, Są łatwo dostępne, Są pożywne",Tak,"Tak, chciał_bym w przyszłości spożywać wyłącznie posiłki roślinne","Ze względu na poglądy etyczne (sprzeciwianie się spożywania zwierząt i tego co do nich należy), Ze względu na środowisko (chęć wpływu na zmniejszenie degradacji środowiska)","Tofu, Tempeh, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Roślinne kawałki kurczaka/nuggetsy, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Śmietanka roślinna, Sery wegańskie, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec), Syrop klonowy/Syrop z agawy jako zamiennik miodu, Wegańskie białko w proszku (suplement)",Codziennie,"Przystępna cena, Korzyści zdrowotne płynące ze spożywania takich produktów, Wartość odżywcza, Powszechna dostępność, Łatwość przygotowania, Posiadanie certyfikatu potwierdzającego w pełni roślinny skład produktu, Sposób produkcji, który nie przyczynia się do cierpienia zwierząt","Tak, dużo łatwiej",Tak,Zdecydowanie tak,Zdecydowanie tak,"Są smaczne, pełne różnych smaków i przypraw, To trend, który zostanie na dłużej, Łatwo jest przygotowywać dania w pełni roślinne",Kobieta,18-25,Średnie,uczę się/studiuję,miasto powyżej 100 tys. mieszkańców,Fleksitariańska
2022-04-05 17:18:04,Tak,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Zwracam uwagę, czy opakowanie produktu, który kupuje nadaje się do recyklingu, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",4,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",2,Tak,Kilka razy w tygodniu,Kilka razy w tygodniu,Raz w tygodniu,Raz w tygodniu,"Lubię ich smak i konsystencję, Są łatwo dostępne, Są ważnym elementem naszej kuchni regionalnej, Są pożywne, Ze względu na dietę innych członków rodziny (wspólne posiłki), Z przyzwyczajenia, bo nie znam innych przepisów",Nie,"Nie, nie planuje zmieniać swoich nawyków żywieniowych i ograniczać produktów odzwierzęcych",,"Tofu, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Roślinne burgery lub roślinne mięso mielone, Mleko roślinne (np. sojowe, owsiane)",Kilka razy w tygodniu,Smak podobny do tradycyjnego mięsa i nabiału,"Tak, dużo łatwiej",Nie,Raczej nie,Trudno powiedzieć,Są zbyt nowoczesne,Kobieta,18-25,Średnie,studiuję i pracuję,miasto powyżej 100 tys. mieszkańców,Tradycyjna
2022-04-05 17:21:44,Nie,"Kupuję produkty przyjazne środowisku, nawet jeśli mają wyższą cenę, ponieważ uważam, że są bezpieczniejsze i zdrowsze niż produkty konwencjonalne, Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Zwracam uwagę, czy opakowanie produktu, który kupuje nadaje się do recyklingu, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam)",5,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",5,Tak,Raz na 2 tygodnie,Nigdy,Kilka razy w tygodniu,Raz w tygodniu,"Lubię ich smak i konsystencję, Są tanie, Są łatwo dostępne, Są pożywne",Tak,"Tak, chciał_bym w przyszłości spożywać coraz więcej dań roślinnych","Ze względów zdrowotnych, aby zadbać o siebie (chęć ograniczenie tłuszczy zwierzęcych w diecie, ograniczenie kalorii, chęć wprowadzenia większej ilości produktów roślinnych do diety), Ze względu na poglądy etyczne (sprzeciwianie się spożywania zwierząt i tego co do nich należy), Ze względu na środowisko (chęć wpływu na zmniejszenie degradacji środowiska), Chęć wypróbowania nowych przepisów","Tofu, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Roślinne kawałki kurczaka/nuggetsy, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Śmietanka roślinna, Sery wegańskie, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec), Roślinne zamienniki jajek, Syrop klonowy/Syrop z agawy jako zamiennik miodu, Wegańskie białko w proszku (suplement)",Kilka razy w tygodniu,"Przystępna cena, Korzyści zdrowotne płynące ze spożywania takich produktów, Wartość odżywcza, Powszechna dostępność, Łatwość przygotowania, Sposób produkcji, który nie przyczynia się do cierpienia zwierząt","Tak, dużo łatwiej",Tak,Raczej tak,Raczej tak,"Zależy, jak są dania roślinne ale takie gotowe to one wcale nie są zdrowsze od nie roślinnych",Kobieta,18-25,Średnie,studiuję i pracuję,miasto powyżej 100 tys. mieszkańców,Fleksitariańska
2022-04-05 17:22:19,Tak,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Zwracam uwagę, czy kupowane przeze mnie towary posiadają oznaczenia ekologiczne lub certyfikaty zrównoważonego handlu (np. GOTS, Ecocert, Fair Trade, Not Tested on Animals itp…), Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",4,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",5,Nie,Kilka razy w tygodniu,Raz w tygodniu,Kilka razy w tygodniu,Kilka razy w tygodniu,"Lubię ich smak i konsystencję, Są tanie, Są łatwo dostępne, Są ważnym elementem naszej kuchni regionalnej, Są pożywne, Są zdrowe, mają dużo witamin",Tak,"Tak, chciał_bym w przyszłości spożywać coraz więcej dań roślinnych","Ze względów zdrowotnych, aby zadbać o siebie (chęć ograniczenie tłuszczy zwierzęcych w diecie, ograniczenie kalorii, chęć wprowadzenia większej ilości produktów roślinnych do diety), Ze względu na środowisko (chęć wpływu na zmniejszenie degradacji środowiska), Ze względu na panującą modę i trendy, Chęć wypróbowania nowych przepisów","Tofu, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Roślinne kawałki kurczaka/nuggetsy, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Sery wegańskie, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec), Syrop klonowy/Syrop z agawy jako zamiennik miodu, Wegańskie białko w proszku (suplement)",Kilka razy w tygodniu,"Przystępna cena, Smak podobny do tradycyjnego mięsa i nabiału, Korzyści zdrowotne płynące ze spożywania takich produktów, Wartość odżywcza, Powszechna dostępność, Wysoka zawartość wapnia i innych witamin oraz minerałów, Łatwość przygotowania, Ogólna pozytywna opinia na temat tego produktu wśród znajomych, Sposób produkcji, który nie przyczynia się do cierpienia zwierząt, Atrakcyjny wygląd opakowania, Ciekawa nazwa produktu","Tak, dużo łatwiej",Tak,Zdecydowanie tak,Zdecydowanie tak,"Są smaczne, pełne różnych smaków i przypraw, To trend, który zostanie na dłużej, Łatwo jest przygotowywać dania w pełni roślinne, Dania roślinne są sycące i odżywcze, Są w akceptowalnej cenie",Kobieta,18-25,Średnie,uczę się/studiuję,miasto powyżej 100 tys. mieszkańców,Tradycyjna
2022-04-05 17:24:46,NIe wiem,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",4,"Nie, nie zauważył_m u siebie zmiany",3,Nie,Codziennie,Kilka razy w tygodniu,Kilka razy w tygodniu,Kilka razy w tygodniu,"Lubię ich smak i konsystencję, Są ważnym elementem naszej kuchni regionalnej, Są pożywne, Są zdrowe, mają dużo witamin",Nie,"Nie, nie planuje zmieniać swoich nawyków żywieniowych i ograniczać produktów odzwierzęcych",,"Tofu, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Roślinne kawałki kurczaka/nuggetsy, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Śmietanka roślinna, Sery wegańskie, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec), Syrop klonowy/Syrop z agawy jako zamiennik miodu, Wegańskie białko w proszku (suplement)",Codziennie,"Przystępna cena, Smak podobny do tradycyjnego mięsa i nabiału, Wartość odżywcza, Dostępność informacji odnośnie wykorzystania takich produktów w przepisach kulinarnych, Atrakcyjny wygląd opakowania","Tak, dużo łatwiej",Tak,Trudno powiedzieć,Trudno powiedzieć,"Są smaczne, pełne różnych smaków i przypraw, To trend, który zostanie na dłużej, Łatwo jest przygotowywać dania w pełni roślinne, Są w akceptowalnej cenie, Są zdrowe i odżywcze",Mężczyzna,18-25,Średnie,uczę się/studiuję,miasto powyżej 100 tys. mieszkańców,Tradycyjna
2022-04-05 17:26:38,Tak,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Staram się kupować produkty od firm, które uważam za społecznie odpowiedzialne lub zrównoważone",4,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",5,Nie,Kilka razy w tygodniu,Kilka razy w tygodniu,Codziennie,Raz w tygodniu,"Lubię ich smak i konsystencję, Są pożywne, Są zdrowe, mają dużo witamin",Nie,"Nie, nie planuje zmieniać swoich nawyków żywieniowych i ograniczać produktów odzwierzęcych",,"Tofu, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Masło roślinne, Śmietanka roślinna, Sery wegańskie, Wegański majonez, Pasty warzywne kanapkowe (np. wegański smalec), Syrop klonowy/Syrop z agawy jako zamiennik miodu",Raz w tygodniu,"Przystępna cena, Smak podobny do tradycyjnego mięsa i nabiału, Łatwość przygotowania, Ogólna pozytywna opinia na temat tego produktu wśród znajomych","Tak, dużo łatwiej",Nie,Zdecydowanie tak,Zdecydowanie tak,"Jest to dieta trudna w utrzymaniu i przygotowaniu, Są za drogie",Kobieta,18-25,Średnie,studiuję i pracuję,miasto powyżej 100 tys. mieszkańców,Tradycyjna
2022-04-05 17:31:43,Tak,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Staram się nie kupować przedmiotów, których tak naprawdę nie potrzebuje, Zwracam uwagę, czy kupowane przeze mnie towary posiadają oznaczenia ekologiczne lub certyfikaty zrównoważonego handlu (np. GOTS, Ecocert, Fair Trade, Not Tested on Animals itp…), Zwracam uwagę, czy opakowanie produktu, który kupuje nadaje się do recyklingu, Staram się kupować produkty od firm, które uważam za społecznie odpowiedzialne lub zrównoważone, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",4,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",2,Nie,Codziennie,Raz w tygodniu,Codziennie,Raz w tygodniu,"Lubię ich smak i konsystencję, Są łatwo dostępne, Z przyzwyczajenia, bo nie znam innych przepisów",Nie,Jest mi to obojętne/Trudno powiedzieć,,"Tofu, Kotlety sojowe lub granulat sojowy, Mleko roślinne (np. sojowe, owsiane), Pasty warzywne kanapkowe (np. wegański smalec), Wegańskie białko w proszku (suplement)",Raz na dwa tygodnie,"Przystępna cena, Korzyści zdrowotne płynące ze spożywania takich produktów, Łatwość przygotowania","NIe mam zdania, nie zauważył_m zmiany",Nie mam zdania,Raczej tak,Raczej tak,"Są smaczne, pełne różnych smaków i przypraw, To trend, który zostanie na dłużej, Są trudne w przygotowaniu",Mężczyzna,18-25,Średnie,studiuję i pracuję,wieś,Tradycyjna
2022-04-05 17:49:25,Tak,"Kupuje produkty przyjazne środowisku, o ile są w tej samej lub podobnej cenie jak produkty konwencjonalne, Zwracam uwagę, czy kupowane przeze mnie towary posiadają oznaczenia ekologiczne lub certyfikaty zrównoważonego handlu (np. GOTS, Ecocert, Fair Trade, Not Tested on Animals itp…), Zwracam uwagę, czy opakowanie produktu, który kupuje nadaje się do recyklingu, Staram się kupować produkty od firm, które uważam za społecznie odpowiedzialne lub zrównoważone, Staram się nie marnować jedzenia (np. planuje wcześniej swoje posiłki i zakupy, wykorzystuje to co już mam), Staram się kupować przedmioty wielokrotnego użytku lub takie, które mi długo posłużą",5,"Tak, jestem bardziej świadomy w kwestii tematów dotyczących środowiska i odpowiedzialnej konsumpcji",4,Tak,Kilka razy w tygodniu,Kilka razy w tygodniu,Kilka razy w tygodniu,Kilka razy w tygodniu,"Lubię ich smak i konsystencję, Są łatwo dostępne, Są ważnym elementem naszej kuchni regionalnej, Są pożywne, Ze względu na dietę innych członków rodziny (wspólne posiłki), Z przyzwyczajenia, bo nie znam innych przepisów",Nie,"Tak, chciał_bym w przyszłości spożywać coraz więcej dań roślinnych","Ze względów zdrowotnych, aby zadbać o siebie (chęć ograniczenie tłuszczy zwierzęcych w diecie, ograniczenie kalorii, chęć wprowadzenia większej ilości produktów roślinnych do diety), Ze względu na poglądy etyczne (sprzeciwianie się spożywania zwierząt i tego co do nich należy), Ze względu na środowisko (chęć wpływu na zmniejszenie degradacji środowiska), Chęć wypróbowania nowych przepisów","Tofu, Tempeh, Kotlety sojowe lub granulat sojowy, Kabanosy i parówki roślinne, Wędliny roślinne, Roślinne burgery lub roślinne mięso mielone, Roślinne kawałki kurczaka/nuggetsy, Klopsy warzywne/roślinne, Mleko roślinne (np. sojowe, owsiane), Jogurty roślinne, Sery wegańskie, Wegański majonez, Syrop klonowy/Syrop z agawy jako zamiennik miodu, Wegańskie białko w proszku (suplement)",Kilka razy w tygodniu,"Przystępna cena, Smak podobny do tradycyjnego mięsa i nabiału, Korzyści zdrowotne płynące ze spożywania takich produktów, Wartość odżywcza, Powszechna dostępność, Wysoka zawartość wapnia i innych witamin oraz minerałów, Sposób produkcji, który nie przyczynia się do cierpienia zwierząt","Tak, dużo łatwiej",Tak,Zdecydowanie tak,Raczej tak,"Są smaczne, pełne różnych smaków i przypraw, Jest to dieta trudna w utrzymaniu i przygotowaniu, Są trudne w przygotowaniu, Są za drogie, Są zdrowe i odżywcze",Mężczyzna,18-25,Średnie,studiuję i pracuję,miasto do 100 tys. mieszkańców,Tradycyjna
